compound,date,negative,positive,source,text,tweets ago
-0.7845,Thu Dec 14 02:00:25 +0000 2017,0.496,0.0,@FoxNews,Russell Simmons accused of rape by four women https://t.co/PjnzKfIGrB,1
0.128,Thu Dec 14 01:45:43 +0000 2017,0.113,0.136,@FoxNews,"On #TheStory, @GovMikeHuckabee said ""we can do better"" when it comes to disagreeing with people's political beliefs… https://t.co/X0vYZYrsY9",2
-0.296,Thu Dec 14 01:41:17 +0000 2017,0.155,0.0,@FoxNews,".@tavissmiley accused of sexual misconduct, @PBS 'indefinitely' suspends show's distribution, report says https://t.co/MZC0Vf8KjB",3
0.0,Thu Dec 14 01:34:49 +0000 2017,0.0,0.0,@FoxNews,".@KimStrassel on getting the @FBI to cooperate with Congress' investigations: ""The @WhiteHouse is going to have to… https://t.co/UxCdcK1Jls",4
0.0,Thu Dec 14 01:22:18 +0000 2017,0.0,0.0,@FoxNews,".@JonathanTurley on possible investigation into the Russia probe: ""Let's have an independent and full investigation… https://t.co/MvdRvCMkbL",5
-0.6249,Thu Dec 14 01:03:51 +0000 2017,0.231,0.0,@FoxNews,".@GovMikeHuckabee on critics of his daughter: ""Politics doesn't have to be personal attacks on people. You can disa… https://t.co/bi6RDpUukR",6
0.4939,Thu Dec 14 01:01:35 +0000 2017,0.0,0.151,@FoxNews,".@GovMikeHuckabee on Mika Brzezinski's comments on @PressSec: ""It just amazes me that even the women who say they'r… https://t.co/YOls8hEIjW",7
0.1027,Thu Dec 14 01:01:14 +0000 2017,0.086,0.152,@FoxNews,An empty @Airbus plane was feeling the #Christmas spirit Wednesday as it mapped out a Christmas tree – with ornamen… https://t.co/hrAteHJAfH,8
0.6833,Thu Dec 14 00:51:52 +0000 2017,0.0,0.188,@FoxNews,".@Jim_Jordan on Peter Strzok's text messages: ""This guy, who thought he was James Bond, this super agent guy at the… https://t.co/oA90ofjZmI",9
0.0,Thu Dec 14 00:49:07 +0000 2017,0.0,0.0,@FoxNews,".@Jim_Jordan on Peter Strzok: ""He needs to be in front of the judiciary committee ASAP.""  https://t.co/9qYndxcPXr https://t.co/EdKpvzvvaV",10
